id,amount,rent,label,image,deed_type,scoring,last_score_update
185,7800,945,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image21.jpg,APARTMENT,4,2023-09-3
186,6300,812,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image125.jpg,PARTICIPATIVE,1,2023-09-24
187,7300,881,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image121.jpg,APARTMENT,4,2023-09-13
188,1700,177,Devenez Acteur de l'Immobilier : Investissement Participatif Rentable et Éthique !,image106.jpg,PARTICIPATIVE,1,2023-09-15
189,4500,633,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image3.jpg,PARTICIPATIVE,1,2023-09-29
190,6600,670,Devenez Acteur de l'Immobilier : Investissement Participatif Rentable et Éthique !,image27.jpg,APARTMENT,4,2023-09-8
191,6200,701,Faites Croître votre Portefeuille : Investissement Participatif dans des Biens Immobiliers à Fort Potentiel !,image157.jpg,APARTMENT,4,2023-09-26
192,3600,486,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image128.jpg,APARTMENT,4,2023-09-29
193,9500,1332,Saisissez l'Opportunité d'Investissement Collectif : Rejoignez notre Projet Immobilier Prometteur !,image109.jpg,APARTMENT,4,2023-09-11
194,2800,324,Faites Croître votre Portefeuille : Investissement Participatif dans des Biens Immobiliers à Fort Potentiel !,image153.jpg,PARTICIPATIVE,1,2023-09-30
195,6100,675,Devenez Acteur de l'Immobilier : Investissement Participatif Rentable et Éthique !,image120.jpg,APARTMENT,4,2023-09-3
196,7500,892,Faites Croître votre Portefeuille : Investissement Participatif dans des Biens Immobiliers à Fort Potentiel !,image89.jpg,APARTMENT,4,2023-09-21
197,5300,622,Rentabilité Assurée : Investissement Collectif dans des Propriétés Haut de Gamme !,image151.jpg,PARTICIPATIVE,1,2023-09-5
198,7800,827,Faites Croître votre Portefeuille : Investissement Participatif dans des Biens Immobiliers à Fort Potentiel !,image194.jpg,APARTMENT,4,2023-09-4
199,8400,984,Devenez Acteur de l'Immobilier : Investissement Participatif Rentable et Éthique !,image95.jpg,APARTMENT,4,2023-09-12
200,8700,1112,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image84.jpg,APARTMENT,4,2023-09-21
